Seed,K,Gamma,GlobalFC
16,1.25,1.25,0.6688
16,1.25,1.5,0.6324
16,1.25,1.75,0.6045
16,1.5,0.25,0.9653
16,1.5,0.5,0.885
16,1.5,0.75,0.8058
16,1.5,1,0.743
16,1.5,1.25,0.6946
16,1.5,1.5,0.6574
16,1.5,1.75,0.6286
16,1.75,0.25,0.9696
16,1.75,0.5,0.9011
16,1.75,0.75,0.8269
16,1.75,1,0.7656
16,1.75,1.25,0.7174
16,1.75,1.5,0.6796
16,1.75,1.75,0.6498
17,0.25,0.25,0.8199
17,0.25,0.5,0.6574
17,0.25,0.75,0.5512
17,0.25,1,0.4971
17,0.25,1.25,0.5022
17,0.25,1.5,0.5001
17,0.25,1.75,0.4598
17,0.5,0.25,0.8959
17,0.5,0.5,0.761
17,0.5,0.75,0.6619
17,0.5,1,0.5982
17,0.5,1.25,0.5622
17,0.5,1.5,0.5366
17,0.5,1.75,0.5132
17,0.75,0.25,0.9273
17,0.75,0.5,0.8094
17,0.75,0.75,0.7205
17,0.75,1,0.6563
17,0.75,1.25,0.6121
17,0.75,1.5,0.5804
17,0.75,1.75,0.556
17,1,0.25,0.9445
17,1,0.5,0.841
17,1,0.75,0.7581
17,1,1,0.6959
17,1,1.25,0.6499
17,1,1.5,0.6157
17,1,1.75,0.5897
17,1.25,0.25,0.9547
17,1.25,0.5,0.8648
17,1.25,0.75,0.7862
17,1.25,1,0.7259
17,1.25,1.25,0.6797
17,1.25,1.5,0.6444
17,1.25,1.75,0.6171
17,1.5,0.25,0.9608
17,1.5,0.5,0.8837
17,1.5,0.75,0.8092
17,1.5,1,0.7504
17,1.5,1.25,0.7045
17,1.5,1.5,0.6687
17,1.5,1.75,0.6404
17,1.75,0.25,0.9646
17,1.75,0.5,0.8989
17,1.75,0.75,0.8286
17,1.75,1,0.7713
17,1.75,1.25,0.7258
17,1.75,1.5,0.6897
17,1.75,1.75,0.6609
18,0.25,0.25,0.8178
18,0.25,0.5,0.6346
18,0.25,0.75,0.5384
18,0.25,1,0.4908
18,0.25,1.25,0.4609
18,0.25,1.5,0.4537
18,0.25,1.75,0.4273
18,0.5,0.25,0.9004
18,0.5,0.5,0.7575
18,0.5,0.75,0.6506
18,0.5,1,0.5826
18,0.5,1.25,0.5391
18,0.5,1.5,0.5116
18,0.5,1.75,0.4929
18,0.75,0.25,0.9327
18,0.75,0.5,0.8113
18,0.75,0.75,0.7152
18,0.75,1,0.6452
18,0.75,1.25,0.5961
18,0.75,1.5,0.5612
18,0.75,1.75,0.5364
18,1,0.25,0.9503
18,1,0.5,0.8455
18,1,0.75,0.7572
18,1,1,0.6893
18,1,1.25,0.6386
18,1,1.5,0.6009
18,1,1.75,0.5725
18,1.25,0.25,0.9607
18,1.25,0.5,0.8708
18,1.25,0.75,0.7885
18,1.25,1,0.7231
18,1.25,1.25,0.6724
18,1.25,1.5,0.6334
18,1.25,1.75,0.6032
18,1.5,0.25,0.967
18,1.5,0.5,0.8906
18,1.5,0.75,0.8136
18,1.5,1,0.7507
18,1.5,1.25,0.7006
18,1.5,1.5,0.661
18,1.5,1.75,0.6298
18,1.75,0.25,0.9707
18,1.75,0.5,0.9064
18,1.75,0.75,0.8346
18,1.75,1,0.774
18,1.75,1.25,0.7248
18,1.75,1.5,0.6851
18,1.75,1.75,0.6532
19,0.25,0.25,0.7921
19,0.25,0.5,0.6141
19,0.25,0.75,0.5593
19,0.25,1,0.4951
19,0.25,1.25,0.4681
19,0.25,1.5,0.4589
19,0.25,1.75,0.441
19,0.5,0.25,0.8855
19,0.5,0.5,0.7336
19,0.5,0.75,0.6444
19,0.5,1,0.5813
19,0.5,1.25,0.5362
19,0.5,1.5,0.5057
19,0.5,1.75,0.4877
19,0.75,0.25,0.9205
19,0.75,0.5,0.7905
19,0.75,0.75,0.6998
19,0.75,1,0.6366
19,0.75,1.25,0.5895
19,0.75,1.5,0.5549
19,0.75,1.75,0.5302
19,1,0.25,0.9398
19,1,0.5,0.8259
19,1,0.75,0.7384
19,1,1,0.6755
19,1,1.25,0.6284
19,1,1.5,0.5927
19,1,1.75,0.5658
19,1.25,0.25,0.9519
19,1.25,0.5,0.8516
19,1.25,0.75,0.768
19,1.25,1,0.7057
19,1.25,1.25,0.6587
19,1.25,1.5,0.6225
19,1.25,1.75,0.5945
19,1.5,0.25,0.9598
19,1.5,0.5,0.8716
19,1.5,0.75,0.7919
19,1.5,1,0.7307
